Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
203,Atlanta Falcons,DST,5,DST15,,220,212,145,,219,199.0
204,Oakland Raiders,DST,10,DST16,,193,191,164,,234,195.5
205,Charles Sims,TB,11,RB62,,218,174,210,221,175,199.6
206,James Conner,PIT,9,RB63,,216,187,256,166,214,207.8
207,Jalen Richard,OAK,10,RB64,,237,,248,152,205,210.5
208,Alvin Kamara,NO,5,RB65,,192,186,212,208,177,195.0
209,Kenny Stills,MIA,11,WR67,,228,207,201,156,198,198.0
210,T.J. Yeldon,JAC,8,RB66,,,,268,153,225,215.3
211,Brandon McManus,DEN,5,K15,,222,211,154,210,208,201.0
212,Malcolm Mitchell,NE,9,WR68,,,,274,155,221,216.7
213,Sam Bradford,MIN,9,QB25,,173,203,216,186,248,205.2
214,Allen Hurns,JAC,8,WR69,,235,208,262,158,235,219.6
215,Green Bay Packers,DST,8,DST17,,210,,161,,239,203.3
216,Jay Cutler,MIA,11,QB26,,183,196,240,188,232,207.8
217,Devontae Booker,DEN,5,RB67,,,,249,165,218,210.7
218,Dallas Cowboys,DST,6,DST18,,206,,166,,,186.0
219,David Njoku,CLE,9,TE24,,189,,196,183,236,201.0
220,DeAngelo Williams,RB68,,,166,,274,220,220.0
221,Nelson Agholor,PHI,10,WR70,,,167,285,251,216,229.8
222,Mike Williams,LAC,9,WR71,,178,,192,205,200,193.8
223,Vance McDonald,SF,11,TE25,,,,,169,217,193.0
224,Curtis Samuel,CAR,11,WR72,,196,,220,175,242,208.3
225,Kenyan Drake,MIA,11,RB69,,,,,170,254,212.0
226,Marqise Lee,JAC,8,WR73,,221,,253,171,215,215.0
227,Blair Walsh,SEA,6,K16,,223,224,172,229,265,222.6
228,Zach Zenner,DET,7,RB70,,,,,173,257,215.0
229,Tampa Bay Buccaneers,DST,11,DST19,,182,,194,,204,193.3
230,Jesse James,PIT,9,TE26,,240,,197,180,269,221.5
231,Dustin Hopkins,WAS,5,K17,,213,218,184,211,195,204.2
232,Charles Clay,BUF,6,TE27,,179,,247,289,250,241.3
233,Wendell Smallwood,PHI,10,RB71,,,,208,181,207,198.7
234,De'Angelo Henderson,DEN,5,RB72,,,182,,,,182.0
235,Brandon LaFell,CIN,6,WR74,,249,,261,184,268,240.5
236,Jeremy McNichols,TB,11,RB73,,,,,185,249,217.0
237,Carlos Henderson,DEN,5,WR75,,,,,187,,187.0
238,Josh Gordon,CLE,9,WR76,,,189,,237,266,230.7
239,Cincinnati Bengals,DST,6,DST20,,202,,190,,212,201.3
240,Chris Thompson,WAS,5,RB74,,224,,,230,190,214.7
241,Shane Vereen,NYG,8,RB75,,209,190,245,245,206,219.0
242,Aaron Jones,GB,8,RB76,,,,289,190,263,247.3
243,Chris Hogan,NE,9,WR77,,211,,193,231,241,219.0
244,Robert Turbin,IND,11,RB77,,248,200,,236,194,219.5
245,Laquon Treadwell,MIN,9,WR78,,,,,194,,194.0
246,Danny Amendola,NE,9,WR79,,,,195,275,,235.0
247,Anquan Boldin,BUF,6,WR80,,227,195,278,255,233,237.6
248,Tavon Austin,LAR,8,WR81,,212,,204,196,246,214.5
249,Robert Woods,LAR,8,WR82,,205,197,279,212,209,220.4
250,Chris Ivory,JAC,8,RB78,,,,266,197,244,235.7
251,Will Fuller,HOU,7,WR83,,,,214,199,237,216.7
252,Kai Forbath,MIN,9,K18,,243,,199,284,,242.0
253,Chris Godwin,TB,11,WR84,,,,,202,,202.0
254,Miami Dolphins,DST,11,DST21,,,,213,,,213.0
255,Geronimo Allison,GB,8,WR85,,,,,215,,215.0
256,Buffalo Bills,DST,6,DST22,,225,219,202,,,215.3
257,Brandon Coleman,NO,5,WR86,,,,,216,,216.0
258,Tyler Boyd,CIN,6,WR87,,,,,218,,218.0
259,Washington Redskins,DST,5,DST23,,,,219,,,219.0
